scheme_code,aum
100033,4428.2119
100034,457.645
100037,11.1344
100038,780.1475
100041,0.2125
100042,20.0653
100043,1.7072999999999998
100044,0.5724
100046,71.8419
100047,9899.3572
100048,0.0619
100051,240.9925
100057,3.252
100058,459.4992
100063,504.5387
100064,2293.4885
100077,6.1986
100078,215.7763
100079,0.2376
100080,369.7993
100081,9395.4928
100082,1334.9239000000002
100084,277.5589
100085,0.8645
100086,0.1051
100087,1431.8122
100088,0.0252
100089,0.0455
100119,53988.6013
100120,29081.556200000003
100123,36.9649
100124,441.2243
100174,34.6209
100175,2467.6272
100176,36.1586
100177,7334.5316
100219,308.0353
100220,2.6060000000000003
100221,567.9099
100222,2.1662
100223,5.7659
100233,0.4906
100234,145.4183
100244,1.6163999999999998
100247,0.0017
100254,633.0127
100264,1.8399
100265,912.701
100280,0.3207
100281,27.6129
100286,244.74830000000003
100299,648.2722
100300,7.228099999999999
100312,40.4869
100313,882.9717999999999
100314,4.4032
100315,102.0612
100316,1.6936000000000002
100317,24.5
100318,0.74
100319,5.929600000000001
100321,68.7773
100323,409.2067
100325,15.1372
100332,23.930300000000003
100348,194.39
100349,19654.816000000003
100351,22.2977
100352,831.2696000000001
100353,1109.3503
100354,11219.4456
100355,3390.7276
100356,32911.4533
100363,4749.8809
100365,567.5471
100367,16.220299999999998
100368,6.9073
100369,2294.0561
100375,1394.8116
100376,87.4842
100377,32525.0541
100378,462.3223
100379,42.8119
100380,5611.1758
100383,2.4594
100384,2.1879
100385,0.2718
100386,1.6369999999999998
100387,216.8374
100388,8.1063
100414,2807.0244
100415,2194.5488
100470,604.3766
100471,5903.4148
100472,727.9133999999999
100473,9274.7476
100474,412.7917
100475,2077.4774
100477,115.6192
100480,41.4245
100484,395.1949
100493,127.7655
100496,1666.994
100520,13767.2369
100522,1457.3613
100525,503.0115
100526,4994.7853000000005
100527,3.3024
100528,622.1312
100529,2.9941000000000004
100530,1.6333000000000002
100531,0.7686
100535,42.8387
100536,411.5585
100537,1.6577000000000002
100538,17.024
100541,0.4961
100546,732.7038
100547,4.1032
100548,3.7852
100549,131.0813
100550,1982.299
100593,261.6261
100596,2.4155
100597,65.5972
100600,25.2295
100601,558.9724
100602,3.5176
100603,28.6576
100614,385.3058
100630,13.4183
100631,3871.3309
100638,14.484100000000002
100639,1376.2877
100640,3.7928
100641,3339.3292
100643,101.7175
100644,121.9054
100645,132.0285
100646,4895.1502
100650,3215.0003
100651,7838.2726
100663,870.4735000000001
100664,4182.9002
100668,6719.6031
100669,13528.283
100678,4159.8033000000005
100682,4479.3069
100684,4709.4575
100685,1298.2648
100723,13.4852
100724,0.0799
100725,0.2386
100739,414.8484
100740,1958.3278
100741,216.36
100742,11.8918
100784,166.3157
100786,1.833
100789,278.5706
100793,1.7372
100794,122.9881
100795,2828.9719
100806,173.4705
100807,762.5836999999999
100813,0.4854
100814,888.2233
100820,424.5239
100821,2785.6499
100822,5262.2579000000005
100823,45.5573
100833,15.9935
100835,5300.262900000001
100837,11.7397
100838,0.5534
100842,0.7543000000000001
100843,0.3
100844,0.0070999999999999
100851,5843.831800000001
100852,15.7004
100853,4.7615
100855,5.1822
100856,1544.1251000000002
100857,2.1238
100858,1.0989
100859,0.6585
100864,61.0347
100865,870.0922
100868,16473.1023
100874,37.1234
100875,240.5744
100876,36.7208
100900,9318.2153
100915,837.2946000000001
100927,39.1723
100928,29.9402
100929,23.8963
100948,162.2476
100949,7.9407
100950,16.936600000000002
100968,8356.1425
100999,167.44009999999997
101001,2679.5569
101002,505.2804
101003,1.82
101042,535.9819
101048,242.3546
101049,3.8437
101065,2811.7622
101066,33.633
101069,5.2437000000000005
101070,1214.5150999999998
101071,14.2329
101072,2497.4081
101078,3.5304
101083,1015.5659
101084,5.7351
101127,1292.4602
101143,3704.3631
101144,59811.30360000001
101161,38992.4608
101162,12.1475
101163,896.087
101165,37.9783
101169,102.0296
101181,0.0699
101184,6.4766
101185,1387.6118
101187,315.5532
101188,0.4205
101198,3.7682
101199,23.6474
101200,10.0943
101201,157.0452
101206,2980.6851
