scheme_code,scheme_name,amc,category
100033,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Equity Scheme - Large & Mid Cap Fund
100034,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Equity Scheme - Large & Mid Cap Fund
100037,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Medium to Long Duration Fund
100038,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Medium to Long Duration Fund
100039,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Medium to Long Duration Fund
100040,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Medium to Long Duration Fund
100041,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Liquid Fund
100042,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Liquid Fund
100043,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Liquid Fund
100044,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Liquid Fund
100046,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Liquid Fund
100047,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Liquid Fund
100048,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Liquid Fund
100050,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Liquid Fund
100051,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Liquid Fund
100057,Aditya Birla Sun Life Government Securities Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Gilt Fund
100058,Aditya Birla Sun Life Government Securities Fund,Aditya Birla Sun Life AMC Limited,Debt Scheme - Gilt Fund
100063,Aditya Birla Sun Life MNC Fund,Aditya Birla Sun Life AMC Limited,Equity Scheme - Sectoral/ Thematic
100064,Aditya Birla Sun Life MNC Fund,Aditya Birla Sun Life AMC Limited,Equity Scheme - Sectoral/ Thematic
100077,DSP Bond Fund,DSP Asset Managers Private Limited,Debt Scheme - Medium Duration Fund
100078,DSP Bond Fund,DSP Asset Managers Private Limited,Debt Scheme - Medium Duration Fund
100079,DSP Bond Fund,DSP Asset Managers Private Limited,Debt Scheme - Medium Duration Fund
100080,DSP Flexi Cap Fund,DSP Asset Managers Private Limited,Equity Scheme - Flexi Cap Fund
100081,DSP Aggressive Hybrid Fund,DSP Asset Managers Private Limited,Hybrid Scheme - Aggressive Hybrid Fund
100082,DSP Aggressive Hybrid Fund,DSP Asset Managers Private Limited,Hybrid Scheme - Aggressive Hybrid Fund
100084,DSP Gilt Fund,DSP Asset Managers Private Limited,Debt Scheme - Gilt Fund
100085,DSP Gilt Fund,DSP Asset Managers Private Limited,Debt Scheme - Gilt Fund
100086,DSP Gilt Fund,DSP Asset Managers Private Limited,Debt Scheme - Gilt Fund
100087,DSP Savings Fund,DSP Asset Managers Private Limited,Debt Scheme - Money Market Fund
100088,DSP Savings Fund,DSP Asset Managers Private Limited,Debt Scheme - Money Market Fund
100089,DSP Savings Fund,DSP Asset Managers Private Limited,Debt Scheme - Money Market Fund
100119,HDFC Balanced Advantage Fund,HDFC Asset Management Company Limited,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage
100120,HDFC Balanced Advantage Fund,HDFC Asset Management Company Limited,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage
100123,HDFC Income Fund,HDFC Asset Management Company Limited,Debt Scheme - Medium to Long Duration Fund
100124,HDFC Income Fund,HDFC Asset Management Company Limited,Debt Scheme - Medium to Long Duration Fund
