investor_id,state,amount,age,gender,city_tier
INV00001,Delhi,945569,35,Female,T30
INV00002,Gujarat,1917450,24,Male,B30
INV00003,Tamil Nadu,689663,56,Male,T30
INV00004,Maharashtra,2002361,61,Male,T30
INV00005,Delhi,2462888,25,Male,T30
INV00006,Tamil Nadu,1493340,24,Female,T30
INV00007,Tamil Nadu,785223,50,Male,T30
INV00008,Delhi,2077098,31,Female,T30
INV00009,Tamil Nadu,1299392,65,Female,T30
INV00010,Tamil Nadu,391534,49,Male,T30
INV00011,Karnataka,2052680,58,Male,T30
INV00012,Gujarat,2203990,56,Female,B30
INV00013,Tamil Nadu,2440986,30,Female,T30
INV00014,Telangana,877130,64,Female,B30
INV00015,Delhi,1521043,27,Female,T30
INV00016,Tamil Nadu,817948,67,Female,T30
INV00017,Tamil Nadu,1334499,36,Male,T30
INV00018,Gujarat,1658955,35,Female,B30
INV00019,Tamil Nadu,2150183,39,Male,T30
INV00020,Tamil Nadu,572503,30,Male,T30
INV00021,Telangana,1641392,48,Male,B30
INV00022,Tamil Nadu,923002,68,Male,T30
INV00023,Delhi,1257923,22,Female,T30
INV00024,Delhi,802235,50,Male,T30
INV00025,Karnataka,1208622,61,Male,T30
INV00026,Gujarat,2207129,70,Female,B30
INV00027,Maharashtra,1353340,30,Female,T30
INV00028,Telangana,2580336,52,Female,B30
INV00029,Gujarat,1696165,45,Male,B30
INV00030,Delhi,2059222,36,Female,T30
INV00031,Delhi,233156,29,Male,T30
INV00032,Delhi,843168,41,Male,T30
INV00033,Tamil Nadu,1344168,26,Female,T30
INV00034,Gujarat,1179928,63,Male,B30
INV00035,Gujarat,1006992,67,Female,B30
INV00036,Delhi,1470236,64,Female,T30
INV00037,Maharashtra,2038169,26,Male,T30
INV00038,Maharashtra,982519,40,Female,T30
INV00039,Delhi,1749000,53,Female,T30
INV00040,Telangana,1162841,26,Male,B30
INV00041,Tamil Nadu,1267111,28,Male,T30
INV00042,Karnataka,931091,57,Male,T30
INV00043,Maharashtra,1196535,62,Female,T30
INV00044,Gujarat,2662119,38,Female,B30
INV00045,Karnataka,1049021,29,Female,T30
INV00046,Telangana,646210,24,Male,B30
INV00047,Tamil Nadu,1282203,56,Male,T30
INV00048,Telangana,1674790,53,Female,B30
INV00049,Tamil Nadu,1744634,62,Male,T30
INV00050,Telangana,688159,60,Female,B30
INV00051,Gujarat,2513658,56,Female,B30
INV00052,Tamil Nadu,1701181,52,Female,T30
INV00053,Karnataka,323655,54,Female,T30
