transaction_id,investor_id,scheme_code,transaction_date,transaction_type,amount,state,kyc_status
TXN00001,INV02427,100077,2024-11-08,SIP,419382,Karnataka,Verified
TXN00002,INV02970,100064,2025-02-10,SIP,48716,Gujarat,Verified
TXN00003,INV00577,100057,2025-06-16,Redemption,474530,Karnataka,Verified
TXN00004,INV02340,100089,2024-11-21,Lumpsum,378725,Delhi,Verified
TXN00005,INV04245,100124,2025-01-24,Redemption,100932,Karnataka,Verified
TXN00006,INV00510,100037,2024-10-12,SIP,313942,Maharashtra,Verified
TXN00007,INV01087,100081,2024-03-14,SIP,53968,Delhi,Verified
TXN00008,INV00023,100081,2025-08-21,SIP,363944,Telangana,Verified
TXN00009,INV01712,100040,2024-05-12,SIP,47482,Gujarat,Verified
TXN00010,INV02411,100040,2024-04-21,Lumpsum,378045,Gujarat,Verified
TXN00011,INV04374,100084,2024-09-21,SIP,37263,Tamil Nadu,Verified
TXN00012,INV02975,100058,2025-03-07,Redemption,13227,Gujarat,Verified
TXN00013,INV04628,100043,2025-12-16,SIP,314948,Telangana,Verified
TXN00014,INV03308,100120,2025-06-01,SIP,125748,Telangana,Verified
TXN00015,INV04866,100123,2025-04-09,SIP,431658,Karnataka,Verified
TXN00016,INV03048,100126,2024-12-01,SIP,414749,Delhi,Verified
TXN00017,INV01835,100081,2024-12-10,SIP,490987,Tamil Nadu,Verified
TXN00018,INV00463,100057,2024-07-13,SIP,20780,Tamil Nadu,Verified
TXN00019,INV00690,100124,2025-08-09,SIP,68962,Delhi,Verified
TXN00020,INV01129,100127,2024-04-13,Lumpsum,52475,Maharashtra,Verified
TXN00021,INV04145,100046,2025-01-01,SIP,61702,Tamil Nadu,Verified
TXN00022,INV03261,100127,2024-10-08,SIP,408819,Delhi,Verified
TXN00023,INV00353,100089,2024-04-02,Redemption,259144,Gujarat,Verified
TXN00024,INV01950,100079,2024-03-17,SIP,329482,Maharashtra,Verified
TXN00025,INV02830,100119,2024-11-19,SIP,193808,Karnataka,Verified
TXN00026,INV03207,100084,2024-04-18,SIP,65017,Tamil Nadu,Verified
TXN00027,INV04424,100128,2024-09-30,SIP,91625,Maharashtra,Verified
TXN00028,INV00798,100046,2025-06-15,SIP,418016,Maharashtra,Verified
TXN00029,INV04510,100039,2025-04-08,Lumpsum,305424,Tamil Nadu,Verified
TXN00030,INV04024,100039,2024-12-25,Redemption,121159,Delhi,Verified
TXN00031,INV04076,100081,2025-01-11,Redemption,457078,Maharashtra,Verified
TXN00032,INV04432,100050,2024-02-25,SIP,306744,Telangana,Verified
TXN00033,INV03734,100124,2024-10-22,SIP,393773,Delhi,Verified
TXN00034,INV01378,100123,2025-03-28,SIP,270780,Karnataka,Verified
TXN00035,INV00037,100081,2024-02-11,SIP,393757,Tamil Nadu,Verified
TXN00036,INV02618,100037,2025-11-12,SIP,68586,Karnataka,Verified
TXN00037,INV02463,100057,2024-01-15,SIP,281737,Gujarat,Verified
TXN00038,INV03752,100038,2025-05-04,Lumpsum,145295,Karnataka,Verified
TXN00039,INV00791,100043,2024-03-05,SIP,233262,Telangana,Verified
TXN00040,INV04715,100063,2025-03-18,SIP,432879,Karnataka,Verified
TXN00041,INV01829,100127,2025-01-09,SIP,241967,Maharashtra,Verified
TXN00042,INV02625,100129,2024-01-30,Redemption,133174,Telangana,Verified
TXN00043,INV01623,100082,2024-11-22,SIP,68424,Karnataka,Verified
TXN00044,INV03009,100127,2025-11-11,Lumpsum,217995,Karnataka,Verified
TXN00045,INV04224,100047,2024-05-29,Redemption,489438,Delhi,Verified
TXN00046,INV01214,100129,2025-10-30,Lumpsum,21111,Karnataka,Verified
