Scheme_Code,Date,NAV
147711,2026-06-21,1001.6699
118698,2026-06-21,1004.3364
147453,2026-06-21,1004.1296
147452,2026-06-21,1216.5909
147451,2026-06-21,1003.0695
153703,2026-06-21,1051.3661
153702,2026-06-21,1050.5683
153701,2026-06-21,1051.3661
153700,2026-06-21,1050.5683
147450,2026-06-21,1403.4156
147444,2026-06-21,14.0801
109353,2026-06-21,3333.7005
109351,2026-06-21,1005.1234
109350,2026-06-21,1001.4217
153689,2026-06-21,1062.451
153688,2026-06-21,1057.5291
109349,2026-06-21,1005.5
147443,2026-06-21,10.0
147442,2026-06-21,10.0
147441,2026-06-21,14.366
118695,2026-06-21,1528.74
109255,2026-06-21,1006.2173
109254,2026-06-21,3191.3022
147454,2026-06-21,1394.2479
147455,2026-06-21,1001.0495
147456,2026-06-21,1001.7786
149829,2026-06-21,1380.3219
147519,2026-06-21,1400.4875
147518,2026-06-21,1180.0559
147517,2026-06-21,1114.6576
147516,2026-06-21,1118.4205
147515,2026-06-21,1412.2688
147514,2026-06-21,1101.4081
147513,2026-06-21,1412.4373
147512,2026-06-21,1238.6522
102672,2026-06-21,4361.7282
149828,2026-06-21,1386.0575
147457,2026-06-21,1002.357
149827,2026-06-21,1073.9936
149826,2026-06-21,1073.9936
153725,2026-06-21,1044.3438
149798,2026-06-21,1251.1977
149797,2026-06-21,1288.0313
149796,2026-06-21,1260.3094
149795,2026-06-21,1285.1803
147459,2026-06-21,1003.998
147458,2026-06-21,1001.4502
118696,2026-06-21,1596.4557
118700,2026-06-21,1531.3998
147532,2026-06-21,1001.0012
118701,2026-06-21,6854.8356
108693,2026-06-21,1006.0577
108692,2026-06-21,1001.4161
108691,2026-06-21,1001.7054
108690,2026-06-21,3343.6753
147287,2026-06-21,1425.6779
103347,2026-06-21,3955.7157
103348,2026-06-21,1001.9463
103349,2026-06-21,1001.4663
149479,2026-06-21,1000.0
149478,2026-06-21,1289.3746
149477,2026-06-21,1289.3762
149476,2026-06-21,1000.0
119370,2026-06-21,1006.2272
119369,2026-06-21,3224.3127
119368,2026-06-21,1005.0
149471,2026-06-21,1000.0
149470,2026-06-21,1293.129
147216,2026-06-21,1000.0066
147215,2026-06-21,1000.0001
147214,2026-06-21,1421.2556
147213,2026-06-21,1416.3236
119414,2026-06-21,1002.0849
119415,2026-06-21,3226.5889
119416,2026-06-21,1221.3787
152151,2026-06-21,1000.0
149664,2026-06-21,2473.6678
149662,2026-06-21,1048.138
149661,2026-06-21,2440.3191
149660,2026-06-21,1045.2814
153651,2026-06-21,1061.612
153650,2026-06-21,1051.9916
152154,2026-06-21,1000.0
152153,2026-06-21,1166.6889
152152,2026-06-21,1168.2321
147301,2026-06-21,1003.7434
147288,2026-06-21,1000.7297
147300,2026-06-21,1003.8038
147296,2026-06-21,1000.7294
147291,2026-06-21,1000.0149
103225,2026-06-21,43.5967
103226,2026-06-21,12.6546
103227,2026-06-21,14.512
103228,2026-06-21,15.2215
147290,2026-06-21,1413.5218
147289,2026-06-21,1000.0149
147531,2026-06-21,1406.1981
147533,2026-06-21,1001.0
112211,2026-06-21,1001.3998
118577,2026-06-21,4208.715
152299,2026-06-21,10.0
111971,2026-06-21,1005.0
152298,2026-06-21,11.7047
120040,2026-06-21,1196.1091
120039,2026-06-21,1043.8603
120038,2026-06-21,2789.5456
120037,2026-06-21,1001.576
119862,2026-06-21,1001.5187
119861,2026-06-21,4419.2077
101996,2026-06-21,3996.0888
101997,2026-06-21,1042.66
147718,2026-06-21,1001.0714
147717,2026-06-21,1004.4727
147716,2026-06-21,1002.3991
147714,2026-06-21,1369.0284
147713,2026-06-21,1378.2328
147712,2026-06-21,1001.6601
118908,2026-06-21,1002.0914
147710,2026-06-21,1002.3576
147709,2026-06-21,1001.0002
